"row ID","SMILES","Mtb Activity","IC90 Modifier","IC90","Vero Activity","IC50 Modifier","IC50","Aromatic Atoms Count","Bond Polarizabilities","VABC Volume Descriptor","Hydrogen Bond Acceptors","Hydrogen Bond Donors","Rotatable Bonds Count","Topological Polar Surface Area","Molecular Weight","XLogP","Formal Charge","SP3 Character"
"845327","CC1=CC2=C(C=C1)N(N=N2)C3CCN(CC3)CC(=O)N4CCN(CC4)C5=CC=C(C=C5)F","Active",,54.67,"Inactive",,,15,41.78400299999999,388.92447341107015,6,0,6,57.50000000000001,436.23868776800083,3.243,0,0.18032786885245902
"846009","CC1=CC=C(C=C1)C(C2=NN=NN2CC3=CC=CS3)N4CCN(CC4)CC5=CC6=C(C=C5)OCO6","Active",,38.03,"Active",">",40.0,22,42.661795999999995,416.2187584682581,5,0,8,96.78,488.19944513600075,3.5970000000000013,0,0.14285714285714285
"846163","CCCCOC(=O)CSC1=NN=C(O1)C2=C(C=C(C=C2)Cl)Cl","Active",,7.21,"Inactive",,,11,24.534897999999995,285.66393397301727,4,0,11,90.52000000000001,360.0102186680004,5.676,0,0.1388888888888889
"846289","CC1=C2C=C(C(=NC2=C(C=C1)C)N3CCCC3)C#N","Inactive",,,"Inactive",,,10,22.544518999999994,240.95790633116715,3,0,3,39.92,251.14224754399999,4.074000000000001,0,0.16666666666666666
"846296","C1CN(CCN1C2=CC=CC=N2)C(=O)C3=CC=C(O3)C#CC4=CC=CC=C4","Inactive",,,"Inactive",,,17,28.924932999999992,328.5119739834908,4,0,2,49.58,357.1477268480005,4.289000000000001,0,0.08695652173913043
"846412","COC1=CC=CC=C1N2CCN(CC2)C3=NN=C(C=C3)C4=CC=CC=C4","Inactive",,,"Active",,13.671,18,31.246553999999993,318.69544026682985,4,0,5,41.49,346.17936132400064,4.872000000000001,0,0.10416666666666667
"846490","CCN(CC)C1=CC2=C(C=C1)C(=C(C(=O)O2)Br)Cl","Active",,61.56,"Active",">",40.0,10,20.775690999999995,247.68094828875593,1,0,7,33.45,328.98181843600037,5.125,0,0.12903225806451613
"846746","CCC1=CC2=C(C=C1)NC(=O)C(=C2)CN(CCCN3CCOCC3)C(=O)NC4=CC(=CC=C4)Cl","Active",,40.53,"Active",,15.011,16,43.42141699999999,448.8668845677194,5,2,10,77.67000000000002,482.20846853200084,4.251,0,0.15384615384615385
"847195","CC1CCCCC1NC(=O)C2=CC3=C(C=C2)N(C(=O)N3)C4CCCC4","Active",,14.14,"Inactive",,,9,34.73258899999999,331.5387569365576,2,2,4,66.89,341.2103271040007,3.3910000000000005,0,0.23076923076923078
"847353","CCCOC1=CC=C(C=C1)N2CC(CC2=O)C(=O)NC3=CC=CC=N3","Active",">",100.0,"Inactive",,,12,30.749346999999993,316.5800816096517,5,1,7,71.53,339.15829153200065,1.976,0,0.13043478260869565
